Category,Crop,DistrictName,KccAns,QueryText,QueryType,Season,month,year,cleaned_query,cleaned_answer,query_lang,answer_lang
Fruits,Mango,RAEBARELI,"महोदय , आप आम के एक वर्ष के पेड़ में प्रति पेड़ 10 किलोग्राम कम्पोस्ट खाद ,100 ग्राम नाइट्रोजन , 50 ग्राम फॉस्फोरस , 100 ग्राम पोटाश , 25 ग्राम कॉपर सल्फेट , 25 ग्राम ज़िंक सल्फेट का प्रयोग करें ",Information about planting of lemon with mango plants   ?,Cultural Practices,Rabi,1,2020,Information about planting of lemon with mango plants ?,"महोदय , आप आम के एक वर्ष के पेड़ में प्रति पेड़ 10 किलोग्राम कम्पोस्ट खाद ,100 ग्राम नाइट्रोजन , 50 ग्राम फॉस्फोरस , 100 ग्राम पोटाश , 25 ग्राम कॉपर सल्फेट , 25 ग्राम ज़िंक सल्फेट का प्रयोग करें",english,hindi
Fruits,Lemon,DEORIA,श्रीमान जी नींबू में गोंद निकलने की रोकथाम के लिए--ढाई सौ ग्राम जिंक सल्फेट ढाई सौ ग्राम कॉपर सल्फेट 125 ग्राम बुझा हुआ चूना प्रति पेड़ की दर से प्रयोग करें,Information About control  of gum problem in lemon plant ?,Cultural Practices,Kharif,6,2022,Information About control of gum problem in lemon plant ?,श्रीमान जी नींबू में गोंद निकलने की रोकथाम के लिए--ढाई सौ ग्राम जिंक सल्फेट ढाई सौ ग्राम कॉपर सल्फेट 125 ग्राम बुझा हुआ चूना प्रति पेड़ की दर से प्रयोग करें,english,hindi
Fruits,Banana,SITAPUR,श्रीमान जी आप केले की फसल में एनपीके 19 19 19 की 5 ग्राम मात्रा साथ में माइक्रोन्यूट्रिएंट्स की 3 ग्राम मात्रा को प्रति 1 लीटर पानी में घोलकर छिड़काव करें,Information regarding to good growth in Banana plants.............?,Cultural Practices,Kharif,9,2021,Information regarding to good growth in Banana plants.............?,श्रीमान जी आप केले की फसल में एनपीके 19 19 19 की 5 ग्राम मात्रा साथ में माइक्रोन्यूट्रिएंट्स की 3 ग्राम मात्रा को प्रति 1 लीटर पानी में घोलकर छिड़काव करें,english,hindi
Fruits,Mango,AMETHI ( Shahu Ji Maharaj),mahoday ap qunalphas 25% ec 2 mili /liter paani me ghol banakar chhidkav kare .,insect problem in mango ...,Cultural Practices,Kharif,7,2020,insect problem in mango ...,mahoday ap qunalphas 25 ec 2 mili liter paani me ghol banakar chhidkav kare .,english,english
Fruits,Melon,BIJNOR,"श्रीमान जी, Alpha naphthyl acetic acid 4.5% SL @ 1 ml प्रति 4.5 लीटर पानी के साथ घोल बनाकर छिड़काव करे |                                                                     
","Information about control of the flower dropping in watermelon crop ?
 ",Cultural Practices,Zaid,4,2024,Information about control of the flower dropping in watermelon crop ?,"श्रीमान जी, Alpha naphthyl acetic acid 4.5 SL 1 ml प्रति 4.5 लीटर पानी के साथ घोल बनाकर छिड़काव करे",english,hindi
Fruits,Lemon,JAUNPUR,श्रीमान जी प्लानोफिक्स 1ml  प्रति  4 लीटर पानी में घोल बनाकर स्प्रे,Information regarding lemon tree not flowering...?,Cultural Practices,Rabi,1,2024,Information regarding lemon tree not flowering...?,श्रीमान जी प्लानोफिक्स 1ml प्रति 4 लीटर पानी में घोल बनाकर स्प्रे,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),KHERI,--कार्टाप हाइड्रोक्लोराइड 4G @ 8-10 किलो ग्राम प्रति एकड़ में छिटक करके सिचाई करे |,Early shoot borer problem in sugarcane ?,Plant Protection,Zaid,5,2022,Early shoot borer problem in sugarcane ?,--कार्टाप हाइड्रोक्लोराइड 4G 8-10 किलो ग्राम प्रति एकड़ में छिटक करके सिचाई करे,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MORADABAD,श्रीमान जी क्लोरेंट्रनिलीपरोले 18.5% SC इसी को कोराजन के नाम से भी जाना जाता है 80ml दवा प्रति एकड़ के हिसाब से 150 लीटर पानी में घोलकर नमी की अवस्था में स्प्रे करें |,Information about use of Chlorantraniliprole 18.5% SC (coragen) in sugacane crop.....?,Plant Protection,Zaid,5,2023,Information about use of Chlorantraniliprole 18.5 SC (coragen) in sugacane crop.....?,श्रीमान जी क्लोरेंट्रनिलीपरोले 18.5 SC इसी को कोराजन के नाम से भी जाना जाता है 80ml दवा प्रति एकड़ के हिसाब से 150 लीटर पानी में घोलकर नमी की अवस्था में स्प्रे करें,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),GONDA,. किसान भाई आप कार्टाप हाइड्रोक्लोराइड  4% GR 10 किलोग्राम /एकर बुरकाव करे,information about  insect control in sugarcane crop ? ,Plant Protection,Zaid,4,2023,information about insect control in sugarcane crop ?,. किसान भाई आप कार्टाप हाइड्रोक्लोराइड 4 GR 10 किलोग्राम एकर बुरकाव करे,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BIJNOR,"श्रीमान जी गन्ने की फसल में चूहा नियंत्रण के लिए जिंक फास्फाइड का ज़हरीला चारा बनाकर बिल के पास रखे |
",Information about rat control in sugarcane crop?,Plant Protection,Rabi,1,2025,Information about rat control in sugarcane crop?,श्रीमान जी गन्ने की फसल में चूहा नियंत्रण के लिए जिंक फास्फाइड का ज़हरीला चारा बनाकर बिल के पास रखे,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),SITAPUR,सर आप Chlorantranilliprole 18.5% SC 150ml प्रति एकड़ 200 लीटर पानी में घोलकर प्रयोग करें |,Information about Early Shoot Borer problem in Sugarcane crop...?,Plant Protection,Zaid,5,2025,Information about Early Shoot Borer problem in Sugarcane crop...?,सर आप Chlorantranilliprole 18.5 SC 150ml प्रति एकड़ 200 लीटर पानी में घोलकर प्रयोग करें,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BULANDSHAHAR,"कार्बोफ़ुरोन 3%  जी 25-30 किलो प्रति हेक्टेयर भुरकाव करें। 
",ASKED  ABOUT INSECT CONTROL IN [ID] ?,Plant Protection,Zaid,5,2024,ASKED ABOUT INSECT CONTROL IN [ID] ?,कार्बोफ़ुरोन 3 जी 25-30 किलो प्रति हेक्टेयर भुरकाव करें।,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MORADABAD,"श्रीमान जी आप  [ID] 50% + [ID] 5% EC 700ml/200 लीटर  पानी  में  घोल  बना  कर  स्प्रे  करे  गन्ना  के  फसल  में /acor के  दर  से
",Information about of Insect management in sugarcane crop ? ,Fertilizer Use and Availability,Kharif,6,2023,Information about of Insect management in sugarcane crop ?,श्रीमान जी आप [ID] 50 [ID] 5 EC 700ml 200 लीटर पानी में घोल बना कर स्प्रे करे गन्ना के फसल में acor के दर से,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),AZAMGARH,"श्रीमान जी,यूरिया 30-35 kg  , डाई अमोनियम फास्फेट 70 kg, म्यूरेट आफ पोटाश 26 kg प्रति एकड़ की दर से प्रयोग करें |",Information about fertilizer management in the Sugarcane crop,Fertilizer Use and Availability,Rabi,2,2025,Information about fertilizer management in the Sugarcane crop,"श्रीमान जी,यूरिया 30-35 kg , डाई अमोनियम फास्फेट 70 kg, म्यूरेट आफ पोटाश 26 kg प्रति एकड़ की दर से प्रयोग करें",english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MAHARAHGANJ,NPK 19:19:19 की 1 किलोग्राम मात्र/एकड़ की दर से उपयोग की जाती हैं ,NPK 19:19:19 DOSE per acre?,Fertilizer Use and Availability,Rabi,2,2021,NPK 19 19 19 DOSE per acre?,NPK 19 19 19 की 1 किलोग्राम मात्र एकड़ की दर से उपयोग की जाती हैं,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BIJNOR,श्रीमान जी गन्ने की पेड़ी में एन.पी.के 12:32:16 का 100 kg एवं पोटाश 15 kg और सागरिका 10 kg प्रति एकड़ की दर से नमी में प्रयोग करें,Give information about Fertilizer use in Sugarcane ...?,Fertilizer Use and Availability,Zaid,4,2023,Give information about Fertilizer use in Sugarcane ...?,श्रीमान जी गन्ने की पेड़ी में एन.पी.के 12 32 16 का 100 kg एवं पोटाश 15 kg और सागरिका 10 kg प्रति एकड़ की दर से नमी में प्रयोग करें,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MEERUT,"महोदय,
 गन्ने की फसल में - यूरिया की मात्रा- 55 किग्रा + ट्राईकॉन्टानॉल 0.05% जीआर की मात्रा- 10 किलोग्राम/एकड़, प्रयोग करे / ", Information about Fertilizers Dose use in sugarcane crop ? ,Fertilizer Use and Availability,Kharif,6,2023,Information about Fertilizers Dose use in sugarcane crop ?,"महोदय, गन्ने की फसल में - यूरिया की मात्रा- 55 किग्रा ट्राईकॉन्टानॉल 0.05 जीआर की मात्रा- 10 किलोग्राम एकड़, प्रयोग करे",english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),SAHARANPUR,श्रीमान जी गन्ने की फसल में डीएपी (फास्फोरस) का प्रयोग खेत की तैयारी के समय ही किया जाता है तथा इस समय गन्ने के खेत में डीएपी (फास्फोरस) डालकर गुड़ाई कर सकते हैं|,How to supply DAP in sugarcane crop?,Fertilizer Use and Availability,Zaid,4,2021,How to supply DAP in sugarcane crop?,श्रीमान जी गन्ने की फसल में डीएपी (फास्फोरस) का प्रयोग खेत की तैयारी के समय ही किया जाता है तथा इस समय गन्ने के खेत में डीएपी (फास्फोरस) डालकर गुड़ाई कर सकते हैं,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MEERUT,"श्रीमान जी गन्ने के फसल में यूरिया-30 किलोग्राम,DAP-50 किलोग्राम,पोटाश-35 किलोग्राम/एकर  के  हिसाब  से  प्रयोग  करे
","Nutrient management in Sugarcane crop..?
",Nutrient Management,Rabi,3,2020,Nutrient management in Sugarcane crop..?,"श्रीमान जी गन्ने के फसल में यूरिया-30 किलोग्राम,DAP-50 किलोग्राम,पोटाश-35 किलोग्राम एकर के हिसाब से प्रयोग करे",english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BAGHPAT," श्रीमान जी गन्ने की फसल मेंएनपीके-19:19:19 ,1.5 kg प्रति एकड़ 180-200 लीटर पानी की दर से घोल बनाकर छिड़काव करे |",Give information about good growth of sugarcane ?,Nutrient Management,Rabi,12,2021,Give information about good growth of sugarcane ?,"श्रीमान जी गन्ने की फसल मेंएनपीके-19 19 19 ,1.5 kg प्रति एकड़ 180-200 लीटर पानी की दर से घोल बनाकर छिड़काव करे",english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),SITAPUR,श्रीमान आप N P K 19:19:19 @ 2 किलोग्राम /एकर की  दर से 200 लीटर पानी में  घोल बनाकर छिड़काव करे ,Information about nutrient managementof sugarcane crops?,Nutrient Management,Kharif,10,2021,Information about nutrient managementof sugarcane crops?,श्रीमान आप N P K 19 19 19 2 किलोग्राम एकर की दर से 200 लीटर पानी में घोल बनाकर छिड़काव करे,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BIJNOR,श्रीमान जी कुंड की गहराई 15 से 25 सेंटीमीटर तक रखें,"Nutrient management in Sugarcane crop at the time of sowing...?
",Nutrient Management,Rabi,3,2020,Nutrient management in Sugarcane crop at the time of sowing...?,श्रीमान जी कुंड की गहराई 15 से 25 सेंटीमीटर तक रखें,english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),BIJNOR,"श्रीमान जी,गन्ना की फसल में 30 किलोग्राम यूरिया , 5 किलोग्राम जिंक सल्फेट 33% , 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें |  
",Information for plant growth and development in sugarcane crop.?,Nutrient Management,Kharif,7,2025,Information for plant growth and development in sugarcane crop.?,"श्रीमान जी,गन्ना की फसल में 30 किलोग्राम यूरिया , 5 किलोग्राम जिंक सल्फेट 33 , 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें",english,hindi
Sugar and Starch Crops,Sugarcane (Noble Cane),MUZAFFARNAGAR,"श्रीमान जी, गन्ने की बुवाई के समय यूरिया 35 kg  , डाई अमोनियम फास्फेट 70 kg, म्यूरेट आफ पोटाश 26 kg प्रति एकड़ की दर से प्रयोग करें |","Information about fertilizer management in the Sugarcane crop?
",Nutrient Management,Zaid,4,2025,Information about fertilizer management in the Sugarcane crop?,"श्रीमान जी, गन्ने की बुवाई के समय यूरिया 35 kg , डाई अमोनियम फास्फेट 70 kg, म्यूरेट आफ पोटाश 26 kg प्रति एकड़ की दर से प्रयोग करें",english,hindi
Oilseeds,Linseed (alsi),ALLAHABAD,श्रीमान जी अलसी की फसल में खरपतवार नियंत्रण के लिए निराई गुड़ाई कराएं किसी भी खरपतवार नाशक दवा का प्रयोग ना करें,Provide information related to weed control in flaxseed crop,Plant Protection,Rabi,12,2020,Provide information related to weed control in flaxseed crop,श्रीमान जी अलसी की फसल में खरपतवार नियंत्रण के लिए निराई गुड़ाई कराएं किसी भी खरपतवार नाशक दवा का प्रयोग ना करें,english,hindi
Oilseeds,Mustard,GONDA,सरसों की फसल में फूल निकलते समय कोई भी स्प्रे ना करें अगर माहू कीट की समस्या बनती है तब ही कीटनाशक का छिड़काव करें|,"Flowers are coming out in mustard crop, what to spray",Plant Protection,Rabi,2,2023,"Flowers are coming out in mustard crop, what to spray",सरसों की फसल में फूल निकलते समय कोई भी स्प्रे ना करें अगर माहू कीट की समस्या बनती है तब ही कीटनाशक का छिड़काव करें,english,hindi
Oilseeds,Mustard,BASTI,श्रीमान जी आपकी सरसों में फूल निकल रहा है तो वह छोटे किस्म की प्रजाति होगी आपने जहां से बीज खरीदा है वहां पर जाकर संपर्क करें|,Information about early flowering of mustard crop..?,Plant Protection,Rabi,12,2022,Information about early flowering of mustard crop..?,श्रीमान जी आपकी सरसों में फूल निकल रहा है तो वह छोटे किस्म की प्रजाति होगी आपने जहां से बीज खरीदा है वहां पर जाकर संपर्क करें,english,hindi
Oilseeds,Groundnut (pea nut/mung phalli),HAMIRPUR,"श्रीमान जी आप मूंगफली की फसल में Copper Oxychloride 50% WP  400 ग्राम मात्रा प्रति एकड़ के हिसाब से 200 लीटर पानी में घोल बनाकर स्प्रे करें
","Information about of fungus control in groundnut crop ?
",Plant Protection,Kharif,10,2021,Information about of fungus control in groundnut crop ?,श्रीमान जी आप मूंगफली की फसल में Copper Oxychloride 50 WP 400 ग्राम मात्रा प्रति एकड़ के हिसाब से 200 लीटर पानी में घोल बनाकर स्प्रे करें,english,hindi
Oilseeds,Mustard,HARDOI,श्रीमान जी सरसों की फसल में कीट की रोकथाम के लिए  ट्राईजोफास 40 परसेंट एसी 400 मील प्रति एकड़ 200 लीटर पानी में घोल बनाकर छिड़काव करें |,Information about sarson ki phasal me keet ke liye..?,Plant Protection,Kharif,10,2020,Information about sarson ki phasal me keet ke liye..?,श्रीमान जी सरसों की फसल में कीट की रोकथाम के लिए ट्राईजोफास 40 परसेंट एसी 400 मील प्रति एकड़ 200 लीटर पानी में घोल बनाकर छिड़काव करें,english,hindi
Oilseeds,Mustard,AZAMGARH,श्रीमान जी सरसों की फसल में माहू कीट नियंत्रण के लिए मेलाथियान 5% डीपी 8 किलोग्राम प्रति एकड़ डाल सकते हैं,information about control of Mahu insect in mustard crop ?,Plant Protection,Rabi,2,2022,information about control of Mahu insect in mustard crop ?,श्रीमान जी सरसों की फसल में माहू कीट नियंत्रण के लिए मेलाथियान 5 डीपी 8 किलोग्राम प्रति एकड़ डाल सकते हैं,english,hindi
Oilseeds,Mustard,KANPUR CITY,"श्रीमान जी लाही (तोरिया) की प्रजातियां - भवानी, टी -9, पी. टी. 303,  पी. टी. 30, तपेश्वरी 
","Information about variety of rapeseed crop…?
",Varieties,Kharif,8,2021,Information about variety of rapeseed crop ?,"श्रीमान जी लाही (तोरिया) की प्रजातियां - भवानी, टी -9, पी. टी. 303, पी. टी. 30, तपेश्वरी",english,hindi
Oilseeds,Indian rapeseed and mustard (yellow sarson),BAREILLY,"श्रीमान जी राई की प्रजातियां  नरेन्द्र अगेती राई-4,नरेन्द्र स्वर्ण-रार्इ-8 (पीली),नरेन्द्र राई ,PPS-1,(एन०डी०आर०-8501),नरेन्द्र राई2,के०-88,बसंती (पीली)की बुवाई कर सकते हैं |
"," Information about of  mustard variety………..?
",Varieties,Kharif,10,2020,Information about of mustard variety ..?,"श्रीमान जी राई की प्रजातियां नरेन्द्र अगेती राई-4,नरेन्द्र स्वर्ण-रार्इ-8 (पीली),नरेन्द्र राई ,PPS-1,(एन०डी०आर०-8501),नरेन्द्र राई2,के०-88,बसंती (पीली)की बुवाई कर सकते हैं",english,hindi
Oilseeds,Mustard,MAU,SPRAY OF [ID] 0.5 GM PER LITER WATER  USE WHEAT ,ASKED ABOUT TO [ID] [ID]  ?,Varieties,Rabi,1,2023,ASKED ABOUT TO [ID] [ID] ?,SPRAY OF [ID] 0.5 GM PER LITER WATER USE WHEAT,english,english
Oilseeds,Mustard,BAREILLY,श्रीमान जी सरसों की पछेती प्रजाति के रूप में आशीर्वाद अथवा वरदान किस्म का प्रयोग करें,Information about late varieties of Mustard ?...,Varieties,Kharif,10,2022,Information about late varieties of Mustard ?...,श्रीमान जी सरसों की पछेती प्रजाति के रूप में आशीर्वाद अथवा वरदान किस्म का प्रयोग करें,english,hindi
Oilseeds,Mustard,HARDOI,"श्रीमान जी सरसों की प्रजाति हैं जैसे कि वरुणा, माया, रोहिणी, उर्वशी ,वैभव हैं |
","Please tell me about varieties of mustard crop...?
",Varieties,Kharif,9,2021,Please tell me about varieties of mustard crop...?,"श्रीमान जी सरसों की प्रजाति हैं जैसे कि वरुणा, माया, रोहिणी, उर्वशी ,वैभव हैं",english,hindi
Oilseeds,Mustard,FATEHPUR,श्री  मान  जी  सरसो  की  लेट  प्रजाति  - आशिर्बाद  और  वरदान  लगा  सकते  है  .,Varieties in Mustard Crop...?,Varieties,Kharif,10,2021,Varieties in Mustard Crop...?,श्री मान जी सरसो की लेट प्रजाति - आशिर्बाद और वरदान लगा सकते है .,english,hindi
Oilseeds,Mustard,SULTANPUR,"श्री मान जी यूरिया 105 kg (दो भागों में बांटकर), सिंगल सुपर फास्फेट 150 kg, म्यूरेट ऑफ पोटाश 40 kg प्रति एकड़ प्रयोग करे, बिजाई के समय नाइट्रोजन की आधी मात्रा और फासफोरस की पूरी मात्रा डालें और बाकी बची नाइट्रोजन पहली सिंचाई के समय डालें। ",Information about fertilizer management in Mustard .?,Fertilizer Use and Availability,Rabi,11,2022,Information about fertilizer management in Mustard .?,"श्री मान जी यूरिया 105 kg (दो भागों में बांटकर), सिंगल सुपर फास्फेट 150 kg, म्यूरेट ऑफ पोटाश 40 kg प्रति एकड़ प्रयोग करे, बिजाई के समय नाइट्रोजन की आधी मात्रा और फासफोरस की पूरी मात्रा डालें और बाकी बची नाइट्रोजन पहली सिंचाई के समय डालें।",english,hindi
Oilseeds,Mustard,PILIBHIT,"श्रीमान जी सरसों की फसल में 85 किलोग्राम यूरिया, 52 किलोग्राम डीएपी तथा 40 किलोग्राम म्यूरेट आफ पोटाश की मात्रा प्रति एकड़ की दर से प्रयोग करें यूरिया की आधी मात्रा तथा डीएपी और पोटाश की पूरी मात्रा बुवाई के समय तथा शेष यूरिया की आधी मात्रा पहली सिंचाई के बाद में प्रयोग करें |
","Provide information about manure and fertilizer in mustard crop ?
",Fertilizer Use and Availability,Rabi,11,2022,Provide information about manure and fertilizer in mustard crop ?,"श्रीमान जी सरसों की फसल में 85 किलोग्राम यूरिया, 52 किलोग्राम डीएपी तथा 40 किलोग्राम म्यूरेट आफ पोटाश की मात्रा प्रति एकड़ की दर से प्रयोग करें यूरिया की आधी मात्रा तथा डीएपी और पोटाश की पूरी मात्रा बुवाई के समय तथा शेष यूरिया की आधी मात्रा पहली सिंचाई के बाद में प्रयोग करें",english,hindi
Oilseeds,Mustard,HARDOI,श्रीमान जी आप सरसो की फसल में प्रथम सिंचाई के बाद यूरिया 40-50 किलोग्राम/एकड़ और दानेदार सल्फर 8 किलोग्राम/एकड़ या सल्फर 90 % WDG 3  किलो/ एकड़ की दर से प्रयोग करे,Give information about the first top dressing fertilizer used in mustard crops.,Fertilizer Use and Availability,Rabi,11,2023,Give information about the first top dressing fertilizer used in mustard crops.,श्रीमान जी आप सरसो की फसल में प्रथम सिंचाई के बाद यूरिया 40-50 किलोग्राम एकड़ और दानेदार सल्फर 8 किलोग्राम एकड़ या सल्फर 90 WDG 3 किलो एकड़ की दर से प्रयोग करे,english,hindi
Oilseeds,Mustard,GORAKHPUR,"श्रीमान जी सरसों की फसल में 35 से 40 किलोग्राम यूरिया , 5 किलोग्राम सल्फर 90 परसेंट बेंटोनाइट तथा 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें |
",Information about the first top dressing fertilizer application in Mustard,Fertilizer Use and Availability,Rabi,12,2022,Information about the first top dressing fertilizer application in Mustard,"श्रीमान जी सरसों की फसल में 35 से 40 किलोग्राम यूरिया , 5 किलोग्राम सल्फर 90 परसेंट बेंटोनाइट तथा 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें",english,hindi
Oilseeds,Mustard,JAUNPUR,"महोदय जी आप सरसों की फसल में 210 किलोग्राम यूरिया ,130 किलोग्राम डीएपी ,100 किलोग्राम म्यूरेट आफ पोटाश प्रति हेक्टेयर की दर से दें",Give information about the dose of fertilizer in mustard crop ?,Fertilizer Use and Availability,Rabi,11,2021,Give information about the dose of fertilizer in mustard crop ?,"महोदय जी आप सरसों की फसल में 210 किलोग्राम यूरिया ,130 किलोग्राम डीएपी ,100 किलोग्राम म्यूरेट आफ पोटाश प्रति हेक्टेयर की दर से दें",english,hindi
Oilseeds,Mustard,GHAZIPUR,"श्रीमान जी,सरसों की फसल में पहली सिंचाई बुवाई के 30-35 दिन पर करें सिंचाई के बाद सरसों की फसल में 35 से 40 किलोग्राम यूरिया , 5 किलोग्राम सल्फर 90 परसेंट बेंटोनाइट तथा 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें |
",Information about first irrigation and fertilizer dose in Mustard crop?..,Fertilizer Use and Availability,Rabi,11,2024,Information about first irrigation and fertilizer dose in Mustard crop?..,"श्रीमान जी,सरसों की फसल में पहली सिंचाई बुवाई के 30-35 दिन पर करें सिंचाई के बाद सरसों की फसल में 35 से 40 किलोग्राम यूरिया , 5 किलोग्राम सल्फर 90 परसेंट बेंटोनाइट तथा 10 किलोग्राम सागरिका जैविक पोषक तत्व प्रति एकड़ की दर से प्रयोग करें",english,hindi
